row_id,row_kind,chain,source_run_id,token,pool,protocol,symbol,target_mechanism,label_block,as_of_block,blocks_before_removal,prediction_horizon_blocks,target_removal_within_horizon,observed_until_block,control_reason,trading_enabled_block,pool_created_block,token_created_block,blocks_since_trading_enabled_as_of,blocks_since_pool_created_as_of,blocks_since_token_created_as_of,creator_address,current_owner,ownership_renounced_current,current_owner_is_zero_address,current_owner_is_creator,token_total_supply_scaled,liquidity_eth_as_of,price_ratio_to_initial_as_of,max_liquidity_eth_before_as_of,liquidity_drawdown_from_peak_as_of,buy_tax_current,sell_tax_current,tax_bucket_current,lp_approval_count_as_of,lp_first_approval_block_as_of,lp_last_approval_block_as_of,lp_last_approval_owner_as_of,lp_last_approval_spender_as_of,lp_last_approval_is_router_as_of,lp_last_approval_owner_is_creator_as_of,lp_last_approval_owner_is_current_owner_as_of,blocks_first_lp_approval_to_as_of,blocks_last_lp_approval_to_as_of,blocks_last_lp_approval_to_removal,lp_approved_holder_count_as_of,lp_approved_spender_count_as_of,lp_router_approval_seen_as_of,lp_max_approval_amount_as_of,lp_approval_feature_scope,activity_blocks_to_as_of,tx_count_to_as_of,token_transfer_count_to_as_of,denom_transfer_count_to_as_of,buy_volume_eth_to_as_of,sell_volume_eth_to_as_of,bribe_eth_to_as_of,first_activity_block_to_as_of,last_activity_block_to_as_of,blocks_since_last_activity_as_of,activity_density_to_as_of,tx_per_active_block_to_as_of,net_buy_volume_eth_to_as_of,buy_sell_volume_ratio_to_as_of,denom_token_transfer_ratio_to_as_of,active_blocks_last_10_as_of,tx_count_last_10_as_of,active_blocks_last_50_as_of,tx_count_last_50_as_of,active_blocks_last_100_as_of,tx_count_last_100_as_of,active_density_last_10_as_of,active_density_last_50_as_of,active_density_last_100_as_of,tx_share_last_10_to_total_as_of,tx_share_last_50_to_total_as_of,tx_share_last_100_to_total_as_of,network_address_count_current,network_node_count_current,network_edge_count_current,network_feature_scope,activity_feature_scope
directlp-window-00011,positive,ethereum,run-2,0xb8fb4502fd3e98f5f6cc2d5876fcaa4c435932b9,0xebb269a7fd3f3d88e08d13e24fc21dc6e3625884,UNISWAP-V2,👑BR,direct_lp_liquidity_removal,24995280,24995270,10,10,true,24995280,,24995093,24995093,24995090,177,177,180,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,,false,,,2010000000,1.791773191,3.203012753,1.929578679,0.07141739747,0,0,no_tax,1,24995094,24995094,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,176,176,186,1,1,false,44833.02354,available_approval_events_filtered_to_as_of_block,22,22,18,17,0.97385,0.1820768088,0,24995090,24995216,54,0.1215469613,1,0.7917731912,5.348566939,0.9444444444,0,0,0,0,14,14,0,0,0.14,0,0,0.6363636364,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00012,positive,ethereum,run-2,0xb8fb4502fd3e98f5f6cc2d5876fcaa4c435932b9,0xebb269a7fd3f3d88e08d13e24fc21dc6e3625884,UNISWAP-V2,👑BR,direct_lp_liquidity_removal,24995280,24995230,50,50,true,24995280,,24995093,24995093,24995090,137,137,140,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,,false,,,2010000000,1.791773191,3.203012753,1.929578679,0.07141739747,0,0,no_tax,1,24995094,24995094,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,136,136,186,1,1,false,44833.02354,available_approval_events_filtered_to_as_of_block,22,22,18,17,0.97385,0.1820768088,0,24995090,24995216,14,0.1560283688,1,0.7917731912,5.348566939,0.9444444444,0,0,14,14,14,14,0,0.28,0.14,0,0.6363636364,0.6363636364,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00013,positive,ethereum,run-2,0xb8fb4502fd3e98f5f6cc2d5876fcaa4c435932b9,0xebb269a7fd3f3d88e08d13e24fc21dc6e3625884,UNISWAP-V2,👑BR,direct_lp_liquidity_removal,24995280,24995180,100,100,true,24995280,,24995093,24995093,24995090,87,87,90,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,,false,,,2010000000,1.2291,1.50977986,1.2291,0,0,0,no_tax,1,24995094,24995094,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,86,86,186,1,1,false,44833.02354,available_approval_events_filtered_to_as_of_block,8,8,6,5,0.2291,0,0,24995090,24995102,78,0.08791208791,1,0.2291,,0.8333333333,0,0,0,0,8,8,0,0,0.08,0,0,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00014,positive,ethereum,run-2,0x50fc231247c6327eed75a8e854fe5e717c4316dc,0xa78ed711503c03651a6618be58fab8e8cccb1e78,UNISWAP-V3,PAI,direct_lp_liquidity_removal,24995309,24995308,1,1,true,24995309,,24995270,24995270,24995261,38,38,47,0x30742322672cab181292eb105c0ca78f3850dcb0,0x30742322672cab181292eb105c0ca78f3850dcb0,false,false,true,1e+12,0.3051203943,1.013872979,0.3051203943,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,5,5,3,3,0.002115853276,0,0,24995261,24995281,27,0.1041666667,1,0.002115853276,,1,0,0,5,5,5,5,0,0.1,0.05,0,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00015,positive,ethereum,run-2,0x50fc231247c6327eed75a8e854fe5e717c4316dc,0xa78ed711503c03651a6618be58fab8e8cccb1e78,UNISWAP-V3,PAI,direct_lp_liquidity_removal,24995309,24995299,10,10,true,24995309,,24995270,24995270,24995261,29,29,38,0x30742322672cab181292eb105c0ca78f3850dcb0,0x30742322672cab181292eb105c0ca78f3850dcb0,false,false,true,1e+12,0.3051203943,1.013872979,0.3051203943,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,5,5,3,3,0.002115853276,0,0,24995261,24995281,18,0.1282051282,1,0.002115853276,,1,0,0,5,5,5,5,0,0.1,0.05,0,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00016,positive,ethereum,run-2,0xc4e4e75fde67ca84b97d20bef43b37d4d356d16d,0xcc0a660c880281b0a33e9c0d3a6a71d795d53676,UNISWAP-V2,CROC,direct_lp_liquidity_removal,24995311,24995310,1,1,true,24995311,,24995289,24995281,24995275,21,29,35,0xdc225b30c156be18a431bd6a738001c09e4899df,0xdc225b30c156be18a431bd6a738001c09e4899df,false,false,true,1000000000,1.048308818,2.30536168,1.048308818,0,0,0,no_tax,1,24995309,24995309,0xdc225b30c156be18a431bd6a738001c09e4899df,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,true,1,1,2,1,1,false,0.5572252686,available_approval_events_filtered_to_as_of_block,13,45,33,32,0.3583088183,0,0,24995275,24995309,1,0.3611111111,3.461538462,0.3583088183,,0.9696969697,1,1,13,45,13,45,0.1,0.26,0.13,0.02222222222,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00017,positive,ethereum,run-2,0xc4e4e75fde67ca84b97d20bef43b37d4d356d16d,0xcc0a660c880281b0a33e9c0d3a6a71d795d53676,UNISWAP-V2,CROC,direct_lp_liquidity_removal,24995311,24995301,10,10,true,24995311,,24995289,24995281,24995275,12,20,26,0xdc225b30c156be18a431bd6a738001c09e4899df,0xdc225b30c156be18a431bd6a738001c09e4899df,false,false,true,1000000000,1.048308818,2.30536168,1.048308818,0,0,0,no_tax,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,12,44,33,32,0.3583088183,0,0,24995275,24995300,1,0.4444444444,3.666666667,0.3583088183,,0.9696969697,6,14,12,44,12,44,0.6,0.24,0.12,0.3181818182,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00018,positive,ethereum,run-2,0x1b64c88ab2abd08d9a8bf0c85bac64d3619252a2,0xf272c7a9f220116ca820da17382879fd88054608,UNISWAP-V2,⚖️TIYIE,direct_lp_liquidity_removal,24995369,24995368,1,1,true,24995369,,24995327,24995327,24995325,41,41,43,0xd8ed59afca065986a2d023fc7d39d986f49174a8,,false,,,9920000000,1.469966305,2.156878521,1.469966305,0,0,0,no_tax,1,24995329,24995329,0xd8ed59afca065986a2d023fc7d39d986f49174a8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,39,39,40,1,1,false,99599.19678,available_approval_events_filtered_to_as_of_block,19,19,14,13,0.62172,0.1517536953,0,24995325,24995366,2,0.4318181818,1,0.4699663047,4.096901884,0.9285714286,3,3,19,19,19,19,0.3,0.38,0.19,0.1578947368,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00019,positive,ethereum,run-2,0x1b64c88ab2abd08d9a8bf0c85bac64d3619252a2,0xf272c7a9f220116ca820da17382879fd88054608,UNISWAP-V2,⚖️TIYIE,direct_lp_liquidity_removal,24995369,24995359,10,10,true,24995369,,24995327,24995327,24995325,32,32,34,0xd8ed59afca065986a2d023fc7d39d986f49174a8,,false,,,9920000000,1.390980666,1.9318358,1.390980666,0,0,0,no_tax,1,24995329,24995329,0xd8ed59afca065986a2d023fc7d39d986f49174a8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,30,30,40,1,1,false,99599.19678,available_approval_events_filtered_to_as_of_block,16,16,11,10,0.51769,0.126709334,0,24995325,24995357,2,0.4571428571,1,0.390980666,4.085650076,0.9090909091,4,4,16,16,16,16,0.4,0.32,0.16,0.25,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00020,positive,ethereum,run-2,0x61827b8195f247038fad4061bbeba6c3186faf8d,0xf18bc0969624524c5de6e0f172d8321632e040db,UNISWAP-V2,✨PALA,direct_lp_liquidity_removal,24995383,24995382,1,1,true,24995383,,24995344,24995344,24995342,38,38,40,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,,false,,,8.92e+14,1.874360109,3.504414427,1.874360109,0,0,0,no_tax,1,24995345,24995345,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,37,37,38,1,1,false,1.157920892e+59,available_approval_events_filtered_to_as_of_block,26,26,25,25,1.065990981,0.1916308729,0,24995342,24995381,1,0.6341463415,1,0.8743601085,5.562730917,1,5,5,26,26,26,26,0.5,0.52,0.26,0.1923076923,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00021,positive,ethereum,run-2,0x61827b8195f247038fad4061bbeba6c3186faf8d,0xf18bc0969624524c5de6e0f172d8321632e040db,UNISWAP-V2,✨PALA,direct_lp_liquidity_removal,24995383,24995373,10,10,true,24995383,,24995344,24995344,24995342,29,29,31,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,,false,,,8.92e+14,1.603060109,2.564528545,1.705490981,0.06005946324,0,0,no_tax,1,24995345,24995345,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,28,28,38,1,1,false,1.157920892e+59,available_approval_events_filtered_to_as_of_block,22,22,21,21,0.7946909814,0.1916308729,0,24995342,24995373,0,0.6875,1,0.6030601085,4.146988266,1,7,7,22,22,22,22,0.7,0.44,0.22,0.3181818182,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00022,positive,ethereum,run-2,0xaed5cf8707ab9b6ba8c8683bc8c509c2f778b23e,0x98faca2068fcab66dd8a1879073fe72e3cd333f5,UNISWAP-V2,🐸LSFG,direct_lp_liquidity_removal,24995408,24995407,1,1,true,24995408,,24995336,24995336,24995334,71,71,73,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,,false,,,8000000000,2.101421651,4.406084168,2.101421651,0,0,0,no_tax,1,24995337,24995337,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,70,70,71,1,1,false,89442.7191,available_approval_events_filtered_to_as_of_block,21,21,18,17,1.13607,0.03464834885,0,24995334,24995381,26,0.2837837838,1,1.101421651,32.78857544,0.9444444444,0,0,10,10,21,21,0,0.2,0.21,0,0.4761904762,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00023,positive,ethereum,run-2,0xaed5cf8707ab9b6ba8c8683bc8c509c2f778b23e,0x98faca2068fcab66dd8a1879073fe72e3cd333f5,UNISWAP-V2,🐸LSFG,direct_lp_liquidity_removal,24995408,24995398,10,10,true,24995408,,24995336,24995336,24995334,62,62,64,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,,false,,,8000000000,2.101421651,4.406084168,2.101421651,0,0,0,no_tax,1,24995337,24995337,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,61,61,71,1,1,false,89442.7191,available_approval_events_filtered_to_as_of_block,21,21,18,17,1.13607,0.03464834885,0,24995334,24995381,17,0.3230769231,1,1.101421651,32.78857544,0.9444444444,0,0,13,13,21,21,0,0.26,0.21,0,0.619047619,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00024,positive,ethereum,run-2,0xaed5cf8707ab9b6ba8c8683bc8c509c2f778b23e,0x98faca2068fcab66dd8a1879073fe72e3cd333f5,UNISWAP-V2,🐸LSFG,direct_lp_liquidity_removal,24995408,24995358,50,50,true,24995408,,24995336,24995336,24995334,22,22,24,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,,false,,,8000000000,1.78164,3.16900414,1.78164,0,0,0,no_tax,1,24995337,24995337,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,21,21,71,1,1,false,89442.7191,available_approval_events_filtered_to_as_of_block,12,12,10,9,0.78164,0,0,24995334,24995358,0,0.48,1,0.78164,,0.9,4,4,12,12,12,12,0.4,0.24,0.12,0.3333333333,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00025,positive,ethereum,run-2,0x16b16afda8870d78b90161d5cef59049bffa8a7b,0x14e5c5d6167c936cb372a75a1a60b6789d66c9e1,UNISWAP-V2,🚀CRWA,direct_lp_liquidity_removal,24995443,24995442,1,1,true,24995443,,24995416,24995416,24995414,26,26,28,0xe4466331d72e231da9ae190716a85a8a0008a959,,false,,,5000000000,1.118635943,1.250700689,1.118635943,0,0,0,no_tax,1,24995419,24995419,0xe4466331d72e231da9ae190716a85a8a0008a959,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,23,23,24,1,1,false,70710.67812,available_approval_events_filtered_to_as_of_block,11,11,8,7,0.151983,0.03334705669,0,24995414,24995442,0,0.3793103448,1,0.1186359433,4.557613628,0.875,3,3,11,11,11,11,0.3,0.22,0.11,0.2727272727,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00026,positive,ethereum,run-2,0x16b16afda8870d78b90161d5cef59049bffa8a7b,0x14e5c5d6167c936cb372a75a1a60b6789d66c9e1,UNISWAP-V2,🚀CRWA,direct_lp_liquidity_removal,24995443,24995433,10,10,true,24995443,,24995416,24995416,24995414,17,17,19,0xe4466331d72e231da9ae190716a85a8a0008a959,,false,,,5000000000,1.023652943,1.047594078,1.057,0.03154877643,0,0,no_tax,1,24995419,24995419,0xe4466331d72e231da9ae190716a85a8a0008a959,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,14,14,24,1,1,false,70710.67812,available_approval_events_filtered_to_as_of_block,8,8,5,4,0.057,0.03334705669,0,24995414,24995431,2,0.4,1,0.02365294331,1.709296282,0.8,2,2,8,8,8,8,0.2,0.16,0.08,0.25,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00027,positive,ethereum,run-2,0x2b200fd1a5064d8f9da9ffe634cb29cf53e701a5,0x4015a618c34012977ec0a2ff85b63a5038029edd,UNISWAP-V2,💫STVAU,direct_lp_liquidity_removal,24995472,24995471,1,1,true,24995472,,24995376,24995376,24995373,95,95,98,0x11418dfb24a49bb9627af83c75670ae2f6664727,,false,,,6160000000,1.53669249,2.355363411,1.659823537,0.07418321532,0,0,no_tax,1,24995385,24995385,0x11418dfb24a49bb9627af83c75670ae2f6664727,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,86,86,87,1,1,false,78485.66748,available_approval_events_filtered_to_as_of_block,24,24,19,18,0.87426,0.3375675101,0,24995373,24995438,33,0.2424242424,1,0.5366924899,2.589881946,0.9473684211,0,0,7,7,24,24,0,0.14,0.24,0,0.2916666667,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
